Nome Completo;Nome Urna;Cargo;Número;Partido;Coligação
ALVARO FERNANDES DIAS;ALVARO DIAS;Presidente;19;PODE;MUDANÇA DE VERDADE
BENEVENUTO DACIOLO FONSECA DOS SANTOS;CABO DACIOLO;Presidente;51;PATRI;PATRI
CIRO FERREIRA GOMES;CIRO GOMES;Presidente;12;PDT;BRASIL SOBERANO
JOSE MARIA EYMAEL;EYMAEL;Presidente;27;DC;DC
GERALDO JOSÉ RODRIGUES ALCKMIN FILHO;GERALDO ALCKMIN;Presidente;45;PSDB;PARA UNIR O BRASIL
GUILHERME CASTRO BOULOS;GUILHERME BOULOS;Presidente;50;PSOL;VAMOS SEM MEDO DE MUDAR O BRASIL
HENRIQUE DE CAMPOS MEIRELLES;HENRIQUE MEIRELLES;Presidente;15;MDB;ESSA É A SOLUÇÃO
JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;Presidente;17;PSL;BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS
JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO;JOÃO AMOÊDO;Presidente;30;NOVO;NOVO
JOÃO VICENTE FONTELLA GOULART;JOÃO GOULART FILHO;Presidente;54;PPL;PPL
LUIZ INÁCIO LULA DA SILVA;LULA;Presidente;13;PT;O Povo Feliz de Novo
MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA;MARINA SILVA;Presidente;18;REDE;UNIDOS PARA TRANSFORMAR O BRASIL
VERA LUCIA PEREIRA DA SILVA SALGADO;VERA;Presidente;16;PSTU;PSTU
